Ticker,Financial Year End,Total Revenue,COGS,SG&A Expenses,Net Income,Basic EPS,Depreciation,Operating Cash Flow (CFO),Dividends Paid,Total Assets,Current Assets,Receivables,PP&E,Total Long-Term Debt,Current Liabilities,Total Equity,Trailing P/E (Historical),Current Trailing P/E (Live),Current PEG Ratio (Live)
360ONE.NS,2021-03-31,,,,,,,,,,,,,,,,,41.34226,
360ONE.NS,2022-03-31,14946400000.0,7319200000.0,808200000.0,5777400000.0,16.35,417400000.0,9288000000.0,4857800000.0,107441200000.0,84275700000.0,2681600000.0,2929600000.0,19720200000.0,55532100000.0,30235300000.0,,41.34226,
360ONE.NS,2023-03-31,16471500000.0,5468300000.0,825700000.0,6579300000.0,18.51,463100000.0,-13225100000.0,6131300000.0,111920600000.0,49650700000.0,3028400000.0,3180700000.0,25640200000.0,53517900000.0,31219500000.0,,41.34226,
360ONE.NS,2024-03-31,20061200000.0,8870200000.0,1227800000.0,8042100000.0,22.48,566400000.0,-4701100000.0,5900400000.0,151188500000.0,61963600000.0,3281700000.0,3566200000.0,40228900000.0,73284200000.0,34497300000.0,,41.34226,
360ONE.NS,2025-03-31,26353100000.0,8472700000.0,1329600000.0,10153000000.0,27.14,705300000.0,-24108700000.0,2166900000.0,197687000000.0,112571400000.0,4430600000.0,3500100000.0,29494400000.0,93302000000.0,70647100000.0,,41.34226,
3MINDIA.NS,2025-03-31,44428602000.0,27455107000.0,1262952000.0,4760674000.0,422.6,552870000.0,3551044000.0,7716573000.0,30145917000.0,24406715000.0,7902674000.0,4283847000.0,,10429558000.0,18464969000.0,,71.72996,
3MINDIA.NS,2024-03-31,41868741000.0,25962476000.0,902993000.0,5834168000.0,517.9,529356000.0,6430349000.0,1126507000.0,32482236000.0,26684613000.0,7030898000.0,3468910000.0,,10594819000.0,21469034000.0,,71.72996,
3MINDIA.NS,2023-03-31,39572834000.0,25287625000.0,796149000.0,4510192000.0,400.37,576791000.0,4654766000.0,9550777000.0,27144247000.0,21274416000.0,6350355000.0,3642511000.0,,9803423000.0,16774704000.0,,71.72996,
3MINDIA.NS,2022-03-31,33339389000.0,21476365000.0,769009000.0,2719711000.0,241.43,551172000.0,3273671000.0,,30059443000.0,24370087000.0,5277668000.0,3378057000.0,,7604601000.0,21835728000.0,,71.72996,
3MINDIA.NS,2021-03-31,,,,,,,,,,,,,,,,,71.72996,
ABB.NS,2024-12-31,120876700000.0,75046400000.0,2458200000.0,18716400000.0,88.32,1289200000.0,13318000000.0,7264900000.0,123913300000.0,107626000000.0,29836600000.0,11839000000.0,,52739600000.0,70754000000.0,,63.334934,
ABB.NS,2023-12-31,103666800000.0,69517400000.0,1893400000.0,12420500000.0,58.61,1199200000.0,13514800000.0,2331000000.0,110011900000.0,95474900000.0,25443000000.0,10582300000.0,,50141600000.0,59446000000.0,,63.334934,
ABB.NS,2022-12-31,84984100000.0,58189200000.0,1935500000.0,10162300000.0,47.96,1047000000.0,7419400000.0,1101900000.0,93182300000.0,78986000000.0,20929900000.0,9746000000.0,,43503400000.0,49394100000.0,,63.334934,
ABB.NS,2021-12-31,68640200000.0,48382100000.0,1601400000.0,5197100000.0,24.53,1027000000.0,6501900000.0,1059500000.0,80727400000.0,66353400000.0,18838400000.0,8903400000.0,,40037900000.0,40451900000.0,,63.334934,
ABB.NS,2020-12-31,,,,,,,,,,,,,0.0,,,,63.334934,
ACC.NS,2025-03-31,206721500000.0,127950400000.0,44388400000.0,24021200000.0,127.92,10013100000.0,17114800000.0,1426100000.0,254126100000.0,91376500000.0,11629100000.0,126808300000.0,,56681500000.0,185548400000.0,,9.996049,
ACC.NS,2024-03-31,195735800000.0,111755900000.0,43851000000.0,23349200000.0,124.34,8850500000.0,29951100000.0,1753400000.0,233677400000.0,97042600000.0,8275000000.0,107028600000.0,,60968400000.0,163282200000.0,,9.996049,
ACC.NS,2022-12-31,174192700000.0,38759600000.0,41104900000.0,6494400000.0,34.58,6645700000.0,-16721100000.0,10891700000.0,200898600000.0,80960100000.0,7711000000.0,89744800000.0,,54571700000.0,138860400000.0,,9.996049,
ACC.NS,2021-12-31,158144000000.0,73016400000.0,39487000000.0,18629900000.0,99.21,6006800000.0,28354900000.0,2629000000.0,210388400000.0,103680700000.0,4622600000.0,82775900000.0,,60060400000.0,143088300000.0,,9.996049,
ACC.NS,2020-12-31,,,,,,,,,,,,,,,,,9.996049,
ACMESOLAR.NS,2025-03-31,14051310000.0,510750000.0,270380000.0,2521080000.0,4.55,2873130000.0,15430190000.0,,184037390000.0,37817460000.0,3808190000.0,136813960000.0,98571700000.0,13195300000.0,45105800000.0,,28.729559,
ACMESOLAR.NS,2024-03-31,13188540000.0,619420000.0,334680000.0,6977980000.0,11.531649,3081380000.0,14341670000.0,,133998010000.0,31553150000.0,4208850000.0,98201470000.0,76964280000.0,14320790000.0,25908690000.0,,28.729559,
ACMESOLAR.NS,2023-03-31,12943970000.0,567620000.0,256020000.0,-31410000.0,-0.051907,4848020000.0,12634830000.0,,121869530000.0,27021390000.0,6992970000.0,89432660000.0,80992600000.0,9696030000.0,19005630000.0,,28.729559,
ACMESOLAR.NS,2022-03-31,14874070000.0,1562720000.0,408330000.0,620340000.0,1.02516,5462750000.0,9549620000.0,,108867170000.0,23399110000.0,9314380000.0,81750870000.0,69508980000.0,12461000000.0,19087630000.0,,28.729559,
AIAENG.NS,2021-03-31,,,,,,,,,,,,,,,,,31.190989,
AIAENG.NS,2022-03-31,35231634000.0,17280819000.0,4692834000.0,6196809000.0,65.7,921163000.0,-395463000.0,763113000.0,51255712000.0,37267020000.0,8001456000.0,9775005000.0,12700000.0,3039767000.0,47549601000.0,,31.190989,
AIAENG.NS,2023-03-31,48517916000.0,23881748000.0,5386466000.0,10559289000.0,111.95,930401000.0,8677196000.0,770632000.0,66311983000.0,53124586000.0,8608365000.0,10870913000.0,0.0,8749920000.0,56913260000.0,,31.190989,
AIAENG.NS,2024-03-31,47834889000.0,23737716000.0,3517432000.0,11355733000.0,120.4,1002715000.0,9027157000.0,1368757000.0,74951654000.0,59986147000.0,8803133000.0,12250790000.0,,7485739000.0,66577419000.0,,31.190989,
AIAENG.NS,2025-03-31,42376384000.0,20083115000.0,3628268000.0,10607360000.0,113.14,1030739000.0,11623070000.0,1371187000.0,78340737000.0,64349410000.0,8263789000.0,12563140000.0,,7878821000.0,69269984000.0,,31.190989,
APLAPOLLO.NS,2021-03-31,,,,,,,,,,,,,,,,,46.035534,
APLAPOLLO.NS,2022-03-31,126252700000.0,114684400000.0,4410800000.0,6189800000.0,24.77,1089700000.0,6517100000.0,,44524100000.0,18270000000.0,3417000000.0,23073600000.0,3471700000.0,14293300000.0,24640100000.0,,46.035534,
APLAPOLLO.NS,2023-03-31,156743500000.0,143502200000.0,5166300000.0,6418600000.0,23.15,1383300000.0,6912600000.0,875100000.0,58516300000.0,25577700000.0,1374400000.0,30109400000.0,4081300000.0,21802500000.0,30056100000.0,,46.035534,
APLAPOLLO.NS,2024-03-31,175069800000.0,160051700000.0,5696800000.0,7324400000.0,26.4,1759300000.0,11115600000.0,1386700000.0,71867900000.0,33413600000.0,1390800000.0,35404800000.0,7865100000.0,24954200000.0,36046300000.0,,46.035534,
APLAPOLLO.NS,2025-03-31,199963100000.0,183548900000.0,6989500000.0,7570600000.0,27.28,2013200000.0,12132800000.0,1526300000.0,75962400000.0,31830100000.0,2672700000.0,38635700000.0,4091600000.0,26301400000.0,42087200000.0,,46.035534,
AUBANK.NS,2025-03-31,105415001000.0,,8502583000.0,21059266000.0,28.32,2585137000.0,54624118000.0,743159000.0,1578456662000.0,,15954481000.0,9124652000.0,,,171662817000.0,,33.236103,
AUBANK.NS,2024-03-31,68556215000.0,,8007053000.0,15347190000.0,22.98,2254439000.0,26080698000.0,667015000.0,1094256699000.0,,9636290000.0,8515924000.0,,,125595315000.0,,33.236103,
AUBANK.NS,2023-03-31,54604092000.0,,5318374000.0,14279253000.0,21.86,1854177000.0,54936398000.0,315093000.0,902161184000.0,,7195265000.0,7401394000.0,,,109773437000.0,,33.236103,
AUBANK.NS,2022-03-31,42284557000.0,,2499028000.0,11298342000.0,18.03,1401666000.0,68489819000.0,,690778004000.0,,8057210000.0,6225713000.0,,,75140140000.0,,33.236103,
AUBANK.NS,2021-03-31,,,,,,,,,,,,,,,,,33.236103,
AWL.NS,2025-03-31,635672500000.0,567837800000.0,24178600000.0,12258100000.0,9.44,3951000000.0,21496900000.0,,224375100000.0,146156900000.0,24155500000.0,65324700000.0,1862400000.0,117269600000.0,94238000000.0,,29.79092,
AWL.NS,2024-03-31,511173600000.0,458466800000.0,21746800000.0,1479900000.0,1.14,3638100000.0,2891700000.0,,198065300000.0,127178000000.0,17829100000.0,58296900000.0,0.0,104239400000.0,83159900000.0,,29.79092,
AWL.NS,2023-03-31,581009800000.0,534211200000.0,20042500000.0,5821200000.0,4.48,3561500000.0,6633000000.0,,209797800000.0,145318700000.0,19314100000.0,51737900000.0,0.0,116871200000.0,81657500000.0,,29.79092,
AWL.NS,2022-03-31,540682000000.0,492007900000.0,17204700000.0,8037300000.0,6.89,3090600000.0,11978600000.0,,213172700000.0,153821400000.0,22185800000.0,49421100000.0,449700000.0,126912000000.0,76063700000.0,,29.79092,
AWL.NS,2021-03-31,,,,,,,,,,,,,,,,,29.79092,
AADHARHFC.NS,2025-03-31,28351700000.0,4174100000.0,739100000.0,9118300000.0,21.43,252400000.0,-30266500000.0,,232239600000.0,51887100000.0,252800000.0,870300000.0,141797900000.0,25880400000.0,63722900000.0,,21.840107,
AADHARHFC.NS,2024-03-31,23542300000.0,3537100000.0,576800000.0,7496400000.0,17.575791,209800000.0,-25501000000.0,,190930600000.0,40352500000.0,195300000.0,747300000.0,120766000000.0,25232500000.0,44497500000.0,,21.840107,
AADHARHFC.NS,2023-03-31,18810100000.0,2878700000.0,459700000.0,5447600000.0,12.772248,164900000.0,-11556900000.0,,166178700000.0,36365400000.0,79700000.0,630300000.0,98579200000.0,30218700000.0,36976600000.0,,21.840107,
AADHARHFC.NS,2022-03-31,16118500000.0,2182900000.0,272200000.0,4448500000.0,10.429794,132500000.0,-9067500000.0,,143758100000.0,33726200000.0,51900000.0,542800000.0,92101600000.0,19624800000.0,31466900000.0,,21.840107,
AADHARHFC.NS,2021-03-31,,,,,,,,,,,,,,,,,21.840107,
AARTIIND.NS,2021-03-31,,,,,,,,,,,,,,,,,44.375,
AARTIIND.NS,2022-03-31,51911900000.0,36017300000.0,3866100000.0,11856700000.0,32.71,2464000000.0,5186500000.0,1268800000.0,78506900000.0,26988300000.0,10915200000.0,50461700000.0,9298500000.0,21656500000.0,45166900000.0,,44.375,
AARTIIND.NS,2023-03-31,64921600000.0,46946200000.0,4313900000.0,5452300000.0,15.04,3104500000.0,13187400000.0,906300000.0,85809000000.0,24592700000.0,9404900000.0,59001700000.0,6347100000.0,27833200000.0,49200800000.0,,44.375,
AARTIIND.NS,2024-03-31,61916900000.0,46572500000.0,3093500000.0,4164600000.0,11.49,3781200000.0,12095700000.0,543800000.0,101151700000.0,29590600000.0,8541800000.0,67457800000.0,15238700000.0,30624500000.0,52897700000.0,,44.375,
AARTIIND.NS,2025-03-31,71313200000.0,53753500000.0,4348000000.0,3308700000.0,9.13,4342700000.0,12419300000.0,362500000.0,111135200000.0,28947400000.0,7860600000.0,76582600000.0,18674200000.0,34664000000.0,56051200000.0,,44.375,
AAVAS.NS,2025-03-31,19875221000.0,13521782000.0,222518000.0,5741082000.0,72.54,364515000.0,-16601262000.0,,186184740000.0,44658134000.0,113654000.0,920981000.0,115739014000.0,25498132000.0,43608323000.0,,20.81386,
